id,name,box_art_url
"2963","Tennis","https://static-cdn.jtvnw.net/ttv-boxart/Tennis-{width}x{height}.jpg"
"2964","Bridge Olympiad","https://static-cdn.jtvnw.net/ttv-boxart/Bridge%20Olympiad-{width}x{height}.jpg"
"2965","robotfindskitten3d","https://static-cdn.jtvnw.net/ttv-boxart/robotfindskitten3d-{width}x{height}.jpg"
"2966","Deus","https://static-cdn.jtvnw.net/ttv-boxart/Deus-{width}x{height}.jpg"
"2967","Tom Landry Strategy Football","https://static-cdn.jtvnw.net/ttv-boxart/Tom%20Landry%20Strategy%20Football-{width}x{height}.jpg"
"2968","Pocket Tennis","https://static-cdn.jtvnw.net/ttv-boxart/Pocket%20Tennis-{width}x{height}.jpg"
"2969","Turbo Speedway","https://static-cdn.jtvnw.net/ttv-boxart/Turbo%20Speedway-{width}x{height}.jpg"
"2970","Detritus: The Daemons Quest","https://static-cdn.jtvnw.net/ttv-boxart/./Detritus:%20The%20Daemons%20Quest-{width}x{height}.jpg"
"2971","AmerZone: The Explorer's Legacy","https://static-cdn.jtvnw.net/ttv-boxart/./AmerZone:%20The%20Explorer%27s%20Legacy-{width}x{height}.jpg"
"2972","Paparazzi","https://static-cdn.jtvnw.net/ttv-boxart/Paparazzi-{width}x{height}.jpg"
"2973","Lara Croft Tomb Raider: Curse of the Sword","https://static-cdn.jtvnw.net/ttv-boxart/./Lara%20Croft%20Tomb%20Raider:%20Curse%20of%20the%20Sword-{width}x{height}.jpg"
"2974","Dave Mirra Freestyle BMX 3","https://static-cdn.jtvnw.net/ttv-boxart/Dave%20Mirra%20Freestyle%20BMX%203-{width}x{height}.jpg"
"2975","Mysterium","https://static-cdn.jtvnw.net/ttv-boxart/Mysterium-{width}x{height}.jpg"
"2976","Call of Duty: Finest Hour","https://static-cdn.jtvnw.net/ttv-boxart/./Call%20of%20Duty:%20Finest%20Hour-{width}x{height}.jpg"
"2977","Might and Magic VIII: Day of the Destroyer","https://static-cdn.jtvnw.net/ttv-boxart/./Might%20and%20Magic%20VIII:%20Day%20of%20the%20Destroyer-{width}x{height}.jpg"
"2978","Sid Meier's Civilization III: Conquests","https://static-cdn.jtvnw.net/ttv-boxart/./Sid%20Meier%27s%20Civilization%20III:%20Conquests-{width}x{height}.jpg"
"2979","Toki Tori","https://static-cdn.jtvnw.net/ttv-boxart/Toki%20Tori-{width}x{height}.jpg"
"2980","Eliminator Boat Duel","https://static-cdn.jtvnw.net/ttv-boxart/Eliminator%20Boat%20Duel-{width}x{height}.jpg"
"2981","Tekken Advance","https://static-cdn.jtvnw.net/ttv-boxart/Tekken%20Advance-{width}x{height}.jpg"
"2982","O.D.T. - Escape... Or Die Trying","https://static-cdn.jtvnw.net/ttv-boxart/O.D.T.%20-%20Escape...%20Or%20Die%20Trying-{width}x{height}.jpg"
"2983","A Mind Forever Voyaging","https://static-cdn.jtvnw.net/ttv-boxart/A%20Mind%20Forever%20Voyaging-{width}x{height}.jpg"
"2984","Xplosiv Top Ten","https://static-cdn.jtvnw.net/ttv-boxart/Xplosiv%20Top%20Ten-{width}x{height}.jpg"
"2985","Championship Manager: Season 1999/2000","https://static-cdn.jtvnw.net/ttv-boxart/./Championship%20Manager:%20Season%201999/2000-{width}x{height}.jpg"
"2986","Untold Legends: Brotherhood of the Blade","https://static-cdn.jtvnw.net/ttv-boxart/./Untold%20Legends:%20Brotherhood%20of%20the%20Blade-{width}x{height}.jpg"
"2987","Jim Power in \"Mutant Planet\"","https://static-cdn.jtvnw.net/ttv-boxart/Jim%20Power%20in%20%22Mutant%20Planet%22-{width}x{height}.jpg"
"2988","Driver's Education '98","https://static-cdn.jtvnw.net/ttv-boxart/Driver%27s%20Education%20%2798-{width}x{height}.jpg"
"2989","Requiem Hurts","https://static-cdn.jtvnw.net/ttv-boxart/Requiem%20Hurts-{width}x{height}.jpg"
"2990","All You Can Play: 10 Handels-Simulationen","https://static-cdn.jtvnw.net/ttv-boxart/./All%20You%20Can%20Play:%2010%20Handels-Simulationen-{width}x{height}.jpg"
"2991","Robot Wars: Arenas of Destruction","https://static-cdn.jtvnw.net/ttv-boxart/./Robot%20Wars:%20Arenas%20of%20Destruction-{width}x{height}.jpg"
"2992","X-COM: Terror from the Deep","https://static-cdn.jtvnw.net/ttv-boxart/./X-COM:%20Terror%20from%20the%20Deep-{width}x{height}.jpg"
"2993","Pokémon Diamond/Pearl","https://static-cdn.jtvnw.net/ttv-boxart/Pok%C3%A9mon%20Diamond/Pearl-{width}x{height}.jpg"
"2994","Nancy Drew 75th Anniversary Edition","https://static-cdn.jtvnw.net/ttv-boxart/Nancy%20Drew%2075th%20Anniversary%20Edition-{width}x{height}.jpg"
"2995","The Powerpuff Girls: Mojo Jojo A-Go-Go","https://static-cdn.jtvnw.net/ttv-boxart/./The%20Powerpuff%20Girls:%20Mojo%20Jojo%20A-Go-Go-{width}x{height}.jpg"
"2996","PC Calciatori 2005","https://static-cdn.jtvnw.net/ttv-boxart/PC%20Calciatori%202005-{width}x{height}.jpg"
"2997","NCAA Football 99","https://static-cdn.jtvnw.net/ttv-boxart/NCAA%20Football%2099-{width}x{height}.jpg"
"2998","TerraFire","https://static-cdn.jtvnw.net/ttv-boxart/TerraFire-{width}x{height}.jpg"
"2999","Bugatron","https://static-cdn.jtvnw.net/ttv-boxart/Bugatron-{width}x{height}.jpg"
"3000","Pipe Dreams 3D","https://static-cdn.jtvnw.net/ttv-boxart/Pipe%20Dreams%203D-{width}x{height}.jpg"
"3001","Treehouse Truants","https://static-cdn.jtvnw.net/ttv-boxart/Treehouse%20Truants-{width}x{height}.jpg"
"3002","Westward","https://static-cdn.jtvnw.net/ttv-boxart/Westward-{width}x{height}.jpg"
"3003","Berlin 1948","https://static-cdn.jtvnw.net/ttv-boxart/Berlin%201948-{width}x{height}.jpg"
"3004","Commandos 3: Destination Berlin","https://static-cdn.jtvnw.net/ttv-boxart/./Commandos%203:%20Destination%20Berlin-{width}x{height}.jpg"
"3005","Crystal Castles","https://static-cdn.jtvnw.net/ttv-boxart/Crystal%20Castles-{width}x{height}.jpg"
"3006","Grammar Nazi","https://static-cdn.jtvnw.net/ttv-boxart/Grammar%20Nazi-{width}x{height}.jpg"
"3007","Fable","https://static-cdn.jtvnw.net/ttv-boxart/Fable-{width}x{height}.jpg"
"3008","Quadrel","https://static-cdn.jtvnw.net/ttv-boxart/Quadrel-{width}x{height}.jpg"
"3009","Game, Net & Match!","https://static-cdn.jtvnw.net/ttv-boxart/Game,%20Net%20&%20Match%21-{width}x{height}.jpg"
"3010","BattleZone","https://static-cdn.jtvnw.net/ttv-boxart/BattleZone-{width}x{height}.jpg"
"3011","Yu-Gi-Oh! World Championship 2007","https://static-cdn.jtvnw.net/ttv-boxart/Yu-Gi-Oh%21%20World%20Championship%202007-{width}x{height}.jpg"
"3012","Tiny Toon Adventures: Dizzy's Candy Quest","https://static-cdn.jtvnw.net/ttv-boxart/./Tiny%20Toon%20Adventures:%20Dizzy%27s%20Candy%20Quest-{width}x{height}.jpg"
"3013","Cruis'n Velocity","https://static-cdn.jtvnw.net/ttv-boxart/Cruis%27n%20Velocity-{width}x{height}.jpg"
"3014","Scrabble","https://static-cdn.jtvnw.net/ttv-boxart/Scrabble-{width}x{height}.jpg"
"3015","Coded X-Word","https://static-cdn.jtvnw.net/ttv-boxart/Coded%20X-Word-{width}x{height}.jpg"
"3016","TDM's Tractor Pull Nationals","https://static-cdn.jtvnw.net/ttv-boxart/TDM%27s%20Tractor%20Pull%20Nationals-{width}x{height}.jpg"
"3017","Drivin' Force","https://static-cdn.jtvnw.net/ttv-boxart/Drivin%27%20Force-{width}x{height}.jpg"
"3018","Blue Almanac","https://static-cdn.jtvnw.net/ttv-boxart/Blue%20Almanac-{width}x{height}.jpg"
"3019","Dance Dance Revolution EXTREME","https://static-cdn.jtvnw.net/ttv-boxart/Dance%20Dance%20Revolution%20EXTREME-{width}x{height}.jpg"
"3020","Millennia: Altered Destinies","https://static-cdn.jtvnw.net/ttv-boxart/./Millennia:%20Altered%20Destinies-{width}x{height}.jpg"
"3021","Braminar","https://static-cdn.jtvnw.net/ttv-boxart/Braminar-{width}x{height}.jpg"
"3022","ATV: Thunder Ridge Riders / Monster Trucks Mayhem","https://static-cdn.jtvnw.net/ttv-boxart/./ATV:%20Thunder%20Ridge%20Riders%20/%20Monster%20Trucks%20Mayhem-{width}x{height}.jpg"
"3023","Hot Slot","https://static-cdn.jtvnw.net/ttv-boxart/Hot%20Slot-{width}x{height}.jpg"
"3024","Forbes Corporate Warrior","https://static-cdn.jtvnw.net/ttv-boxart/Forbes%20Corporate%20Warrior-{width}x{height}.jpg"
"3025","The Terminator 2029: Operation Scour","https://static-cdn.jtvnw.net/ttv-boxart/./The%20Terminator%202029:%20Operation%20Scour-{width}x{height}.jpg"
"3026","Power Dolls","https://static-cdn.jtvnw.net/ttv-boxart/Power%20Dolls-{width}x{height}.jpg"
"3027","Video Olympics","https://static-cdn.jtvnw.net/ttv-boxart/Video%20Olympics-{width}x{height}.jpg"
"3028","Ultima VII, Part Two: The Silver Seed","https://static-cdn.jtvnw.net/ttv-boxart/./Ultima%20VII,%20Part%20Two:%20The%20Silver%20Seed-{width}x{height}.jpg"
"3029","Casanova","https://static-cdn.jtvnw.net/ttv-boxart/Casanova-{width}x{height}.jpg"
"3030","Rakugakids","https://static-cdn.jtvnw.net/ttv-boxart/Rakugakids-{width}x{height}.jpg"
"3031","Donkey Kong 3","https://static-cdn.jtvnw.net/ttv-boxart/Donkey%20Kong%203-{width}x{height}.jpg"
"3033","The Eternal Dagger","https://static-cdn.jtvnw.net/ttv-boxart/The%20Eternal%20Dagger-{width}x{height}.jpg"
"3034","Isle of the Dead","https://static-cdn.jtvnw.net/ttv-boxart/Isle%20of%20the%20Dead-{width}x{height}.jpg"
"3035","Eagle One: Harrier Attack","https://static-cdn.jtvnw.net/ttv-boxart/./Eagle%20One:%20Harrier%20Attack-{width}x{height}.jpg"
"3036","Silent Hunter 4: Wolves of the Pacific","https://static-cdn.jtvnw.net/ttv-boxart/./Silent%20Hunter%204:%20Wolves%20of%20the%20Pacific-{width}x{height}.jpg"
"3037","Uridium 2","https://static-cdn.jtvnw.net/ttv-boxart/Uridium%202-{width}x{height}.jpg"
"3038","Emily Enough: Imprisoned","https://static-cdn.jtvnw.net/ttv-boxart/./Emily%20Enough:%20Imprisoned-{width}x{height}.jpg"
"3039","Cadaver: The Payoff","https://static-cdn.jtvnw.net/ttv-boxart/./Cadaver:%20The%20Payoff-{width}x{height}.jpg"
"3040","Rick Dangerous II","https://static-cdn.jtvnw.net/ttv-boxart/Rick%20Dangerous%20II-{width}x{height}.jpg"
"3041","Disney's Magical Quest 3 starring Mickey and Donald","https://static-cdn.jtvnw.net/ttv-boxart/Disney%27s%20Magical%20Quest%203%20starring%20Mickey%20and%20Donald-{width}x{height}.jpg"
"3042","R.B.I. Baseball 3","https://static-cdn.jtvnw.net/ttv-boxart/R.B.I.%20Baseball%203-{width}x{height}.jpg"
"3043","Harpoon II","https://static-cdn.jtvnw.net/ttv-boxart/Harpoon%20II-{width}x{height}.jpg"
"3044","K.C.'s Krazy Chase!","https://static-cdn.jtvnw.net/ttv-boxart/K.C.%27s%20Krazy%20Chase%21-{width}x{height}.jpg"
"3046","Fracas","https://static-cdn.jtvnw.net/ttv-boxart/Fracas-{width}x{height}.jpg"
"3047","Deathrow","https://static-cdn.jtvnw.net/ttv-boxart/Deathrow-{width}x{height}.jpg"
"3048","Ms. Pac-Man: Quest for the Golden Maze","https://static-cdn.jtvnw.net/ttv-boxart/./Ms.%20Pac-Man:%20Quest%20for%20the%20Golden%20Maze-{width}x{height}.jpg"
"3049","Bad Boys: Miami Takedown","https://static-cdn.jtvnw.net/ttv-boxart/./Bad%20Boys:%20Miami%20Takedown-{width}x{height}.jpg"
"3050","Drug Lord 2","https://static-cdn.jtvnw.net/ttv-boxart/Drug%20Lord%202-{width}x{height}.jpg"
"3051","Mike Tyson Heavyweight Boxing","https://static-cdn.jtvnw.net/ttv-boxart/Mike%20Tyson%20Heavyweight%20Boxing-{width}x{height}.jpg"
"3052","The Space Adventure","https://static-cdn.jtvnw.net/ttv-boxart/The%20Space%20Adventure-{width}x{height}.jpg"
"3053","Street Cred Football","https://static-cdn.jtvnw.net/ttv-boxart/Street%20Cred%20Football-{width}x{height}.jpg"
"3054","Æon  Flux","https://static-cdn.jtvnw.net/ttv-boxart/%C3%86on%20%20Flux-{width}x{height}.jpg"
"3055","The Way of the Tiger","https://static-cdn.jtvnw.net/ttv-boxart/The%20Way%20of%20the%20Tiger-{width}x{height}.jpg"
"3056","Battle Arena Toshinden 2","https://static-cdn.jtvnw.net/ttv-boxart/Battle%20Arena%20Toshinden%202-{width}x{height}.jpg"
"3057","Kid Paddle","https://static-cdn.jtvnw.net/ttv-boxart/Kid%20Paddle-{width}x{height}.jpg"
"3058","Pebble Beach Golf Links","https://static-cdn.jtvnw.net/ttv-boxart/Pebble%20Beach%20Golf%20Links-{width}x{height}.jpg"
"3059","England Championship Special","https://static-cdn.jtvnw.net/ttv-boxart/England%20Championship%20Special-{width}x{height}.jpg"
"3060","Karaoke Revolution: J-POP Best vol.1","https://static-cdn.jtvnw.net/ttv-boxart/./Karaoke%20Revolution:%20J-POP%20Best%20vol.1-{width}x{height}.jpg"
"3061","Star Force","https://static-cdn.jtvnw.net/ttv-boxart/Star%20Force-{width}x{height}.jpg"
"3062","Who Wants to Beat Up a Millionaire","https://static-cdn.jtvnw.net/ttv-boxart/Who%20Wants%20to%20Beat%20Up%20a%20Millionaire-{width}x{height}.jpg"
"3063","Hotel Detective","https://static-cdn.jtvnw.net/ttv-boxart/Hotel%20Detective-{width}x{height}.jpg"
"3064","Mortadelo y Filemón: Balones y Patadones","https://static-cdn.jtvnw.net/ttv-boxart/./Mortadelo%20y%20Filem%C3%B3n:%20Balones%20y%20Patadones-{width}x{height}.jpg"
"3065","NFL GameDay ‘98","https://static-cdn.jtvnw.net/ttv-boxart/NFL%20GameDay%20%E2%80%9898-{width}x{height}.jpg"
"3066","Zork III: The Dungeon Master","https://static-cdn.jtvnw.net/ttv-boxart/./Zork%20III:%20The%20Dungeon%20Master-{width}x{height}.jpg"
"3067","Nancy Drew: The Secret of Shadow Ranch","https://static-cdn.jtvnw.net/ttv-boxart/./Nancy%20Drew:%20The%20Secret%20of%20Shadow%20Ranch-{width}x{height}.jpg"
"3068","Twin Turbo V8","https://static-cdn.jtvnw.net/ttv-boxart/Twin%20Turbo%20V8-{width}x{height}.jpg"
"3069","Sega Smash Pack","https://static-cdn.jtvnw.net/ttv-boxart/Sega%20Smash%20Pack-{width}x{height}.jpg"
"3070","Egypt II: The Heliopolis Prophecy","https://static-cdn.jtvnw.net/ttv-boxart/./Egypt%20II:%20The%20Heliopolis%20Prophecy-{width}x{height}.jpg"
"3071","Scooter War3z","https://static-cdn.jtvnw.net/ttv-boxart/Scooter%20War3z-{width}x{height}.jpg"
"3072","Kreed","https://static-cdn.jtvnw.net/ttv-boxart/Kreed-{width}x{height}.jpg"
"3073","Love Potion","https://static-cdn.jtvnw.net/ttv-boxart/Love%20Potion-{width}x{height}.jpg"
"3074","Cheese Cat-Astrophe starring Speedy Gonzales","https://static-cdn.jtvnw.net/ttv-boxart/Cheese%20Cat-Astrophe%20starring%20Speedy%20Gonzales-{width}x{height}.jpg"
"3075","Penumbra: Black Plague","https://static-cdn.jtvnw.net/ttv-boxart/./Penumbra:%20Black%20Plague-{width}x{height}.jpg"
"3076","Air Force Commander","https://static-cdn.jtvnw.net/ttv-boxart/Air%20Force%20Commander-{width}x{height}.jpg"
"3077","True Crime: New York City","https://static-cdn.jtvnw.net/ttv-boxart/./True%20Crime:%20New%20York%20City-{width}x{height}.jpg"
"3078","Pool","https://static-cdn.jtvnw.net/ttv-boxart/Pool-{width}x{height}.jpg"
"3079","Chicken Shoot","https://static-cdn.jtvnw.net/ttv-boxart/Chicken%20Shoot-{width}x{height}.jpg"
"3080","Super Bomberman 5","https://static-cdn.jtvnw.net/ttv-boxart/Super%20Bomberman%205-{width}x{height}.jpg"
"3081","Bishoujo Senshi Sailor Moon R","https://static-cdn.jtvnw.net/ttv-boxart/Bishoujo%20Senshi%20Sailor%20Moon%20R-{width}x{height}.jpg"
"3082","Rolling Thunder","https://static-cdn.jtvnw.net/ttv-boxart/Rolling%20Thunder-{width}x{height}.jpg"
"3083","Western Games","https://static-cdn.jtvnw.net/ttv-boxart/Western%20Games-{width}x{height}.jpg"
"3084","Santa's Xmas Caper","https://static-cdn.jtvnw.net/ttv-boxart/Santa%27s%20Xmas%20Caper-{width}x{height}.jpg"
"3085","Wing Commander Armada","https://static-cdn.jtvnw.net/ttv-boxart/Wing%20Commander%20Armada-{width}x{height}.jpg"
"3086","Goosebumps: Escape from Horrorland","https://static-cdn.jtvnw.net/ttv-boxart/./Goosebumps:%20Escape%20from%20Horrorland-{width}x{height}.jpg"
"3087","Flyin' High Data Disk 2","https://static-cdn.jtvnw.net/ttv-boxart/Flyin%27%20High%20Data%20Disk%202-{width}x{height}.jpg"
"3088","Karous","https://static-cdn.jtvnw.net/ttv-boxart/Karous-{width}x{height}.jpg"
"3089","Skyfox","https://static-cdn.jtvnw.net/ttv-boxart/Skyfox-{width}x{height}.jpg"
"3090","Monster Kingdom: Jewel Summoner","https://static-cdn.jtvnw.net/ttv-boxart/./Monster%20Kingdom:%20Jewel%20Summoner-{width}x{height}.jpg"
"3091","Acne Attack","https://static-cdn.jtvnw.net/ttv-boxart/Acne%20Attack-{width}x{height}.jpg"
"3092","Galacta: The Battle for Saturn","https://static-cdn.jtvnw.net/ttv-boxart/./Galacta:%20The%20Battle%20for%20Saturn-{width}x{height}.jpg"
"3093","Summon Night 2","https://static-cdn.jtvnw.net/ttv-boxart/Summon%20Night%202-{width}x{height}.jpg"
"3094","Oil Barons","https://static-cdn.jtvnw.net/ttv-boxart/Oil%20Barons-{width}x{height}.jpg"
"3095","The Political Machine","https://static-cdn.jtvnw.net/ttv-boxart/The%20Political%20Machine-{width}x{height}.jpg"
"3096","Amiga Power Coverdisk 21","https://static-cdn.jtvnw.net/ttv-boxart/Amiga%20Power%20Coverdisk%2021-{width}x{height}.jpg"
"3097","The Flintstones: Big Trouble in Bedrock","https://static-cdn.jtvnw.net/ttv-boxart/./The%20Flintstones:%20Big%20Trouble%20in%20Bedrock-{width}x{height}.jpg"
"3098","Twinkle Star Sprites: La Petite Princesse","https://static-cdn.jtvnw.net/ttv-boxart/./Twinkle%20Star%20Sprites:%20La%20Petite%20Princesse-{width}x{height}.jpg"
"3099","Universe 3","https://static-cdn.jtvnw.net/ttv-boxart/Universe%203-{width}x{height}.jpg"
"3100","Inspector Gadget","https://static-cdn.jtvnw.net/ttv-boxart/Inspector%20Gadget-{width}x{height}.jpg"
"3101","Global Effect","https://static-cdn.jtvnw.net/ttv-boxart/Global%20Effect-{width}x{height}.jpg"
"3102","Liverpool: the Computer Game","https://static-cdn.jtvnw.net/ttv-boxart/./Liverpool:%20the%20Computer%20Game-{width}x{height}.jpg"
"3103","Sakura Taisen","https://static-cdn.jtvnw.net/ttv-boxart/Sakura%20Taisen-{width}x{height}.jpg"
"3104","Pettson o Findus och mucklornas värld","https://static-cdn.jtvnw.net/ttv-boxart/Pettson%20o%20Findus%20och%20mucklornas%20v%C3%A4rld-{width}x{height}.jpg"
"3105","African Adventure","https://static-cdn.jtvnw.net/ttv-boxart/African%20Adventure-{width}x{height}.jpg"
"3106","G-Police: Weapons of Justice","https://static-cdn.jtvnw.net/ttv-boxart/./G-Police:%20Weapons%20of%20Justice-{width}x{height}.jpg"
"3107","FIFA Soccer 97","https://static-cdn.jtvnw.net/ttv-boxart/FIFA%20Soccer%2097-{width}x{height}.jpg"
"3108","Mega Man Battle Network 4","https://static-cdn.jtvnw.net/ttv-boxart/Mega%20Man%20Battle%20Network%204-{width}x{height}.jpg"
"3109","Stealth Combat","https://static-cdn.jtvnw.net/ttv-boxart/Stealth%20Combat-{width}x{height}.jpg"
"3110","The Sword of Hope","https://static-cdn.jtvnw.net/ttv-boxart/The%20Sword%20of%20Hope-{width}x{height}.jpg"
"3111","Samurai Shodown V","https://static-cdn.jtvnw.net/ttv-boxart/Samurai%20Shodown%20V-{width}x{height}.jpg"
"3112","Front Page Sports: Football Pro '96 Season","https://static-cdn.jtvnw.net/ttv-boxart/./Front%20Page%20Sports:%20Football%20Pro%20%2796%20Season-{width}x{height}.jpg"
"3113","Origamo","https://static-cdn.jtvnw.net/ttv-boxart/Origamo-{width}x{height}.jpg"
"3114","SEGA AGES 2500 Vol.21: SDI & Quartet -SEGA SYSTEM 16 COLLECTION-","https://static-cdn.jtvnw.net/ttv-boxart/./SEGA%20AGES%202500%20Vol.21:%20SDI%20&%20Quartet%20-SEGA%20SYSTEM%2016%20COLLECTION--{width}x{height}.jpg"
"3115","Robin Hood","https://static-cdn.jtvnw.net/ttv-boxart/Robin%20Hood-{width}x{height}.jpg"
"3116","Cutthroats: Terror on the High Seas","https://static-cdn.jtvnw.net/ttv-boxart/./Cutthroats:%20Terror%20on%20the%20High%20Seas-{width}x{height}.jpg"
"3117","Romance of the Three Kingdoms VI: Awakening of the Dragon","https://static-cdn.jtvnw.net/ttv-boxart/./Romance%20of%20the%20Three%20Kingdoms%20VI:%20Awakening%20of%20the%20Dragon-{width}x{height}.jpg"
"3118","Blinx 2: Masters of Time and Space","https://static-cdn.jtvnw.net/ttv-boxart/./Blinx%202:%20Masters%20of%20Time%20and%20Space-{width}x{height}.jpg"
"3119","Entombed Enhanced","https://static-cdn.jtvnw.net/ttv-boxart/Entombed%20Enhanced-{width}x{height}.jpg"
"3120","Dark Signs","https://static-cdn.jtvnw.net/ttv-boxart/Dark%20Signs-{width}x{height}.jpg"
"3121","E. V. O.: Search for Eden","https://static-cdn.jtvnw.net/ttv-boxart/./E.%20V.%20O.:%20Search%20for%20Eden-{width}x{height}.jpg"
"3122","Railroad Pioneer","https://static-cdn.jtvnw.net/ttv-boxart/Railroad%20Pioneer-{width}x{height}.jpg"
"3123","Barbie","https://static-cdn.jtvnw.net/ttv-boxart/Barbie-{width}x{height}.jpg"
"3124","Milo's Astro Lanes","https://static-cdn.jtvnw.net/ttv-boxart/Milo%27s%20Astro%20Lanes-{width}x{height}.jpg"
"3125","BloodNet","https://static-cdn.jtvnw.net/ttv-boxart/BloodNet-{width}x{height}.jpg"
"3126","The Speris Legacy","https://static-cdn.jtvnw.net/ttv-boxart/The%20Speris%20Legacy-{width}x{height}.jpg"
"3127","Boter, kaas en eieren","https://static-cdn.jtvnw.net/ttv-boxart/Boter,%20kaas%20en%20eieren-{width}x{height}.jpg"
"3128","Strikes 'N' Spares","https://static-cdn.jtvnw.net/ttv-boxart/Strikes%20%27N%27%20Spares-{width}x{height}.jpg"
"3129","Shin Megami Tensei: NINE","https://static-cdn.jtvnw.net/ttv-boxart/./Shin%20Megami%20Tensei:%20NINE-{width}x{height}.jpg"
"3130","Mario Party 5","https://static-cdn.jtvnw.net/ttv-boxart/Mario%20Party%205-{width}x{height}.jpg"
"3131","Ed Hunter","https://static-cdn.jtvnw.net/ttv-boxart/Ed%20Hunter-{width}x{height}.jpg"
"3132","Paperboy","https://static-cdn.jtvnw.net/ttv-boxart/Paperboy-{width}x{height}.jpg"
"3133","Might and Magic: Darkside of Xeen","https://static-cdn.jtvnw.net/ttv-boxart/./Might%20and%20Magic:%20Darkside%20of%20Xeen-{width}x{height}.jpg"
"3134","Nuts & Milk","https://static-cdn.jtvnw.net/ttv-boxart/Nuts%20&%20Milk-{width}x{height}.jpg"
"3135","Black Belt Challenge","https://static-cdn.jtvnw.net/ttv-boxart/Black%20Belt%20Challenge-{width}x{height}.jpg"
"3136","Deadline","https://static-cdn.jtvnw.net/ttv-boxart/Deadline-{width}x{height}.jpg"
"3137","Duke Nukem 3D","https://static-cdn.jtvnw.net/ttv-boxart/Duke%20Nukem%203D-{width}x{height}.jpg"
"3138","Mind-Roll","https://static-cdn.jtvnw.net/ttv-boxart/Mind-Roll-{width}x{height}.jpg"
"3139","Faith Fighter","https://static-cdn.jtvnw.net/ttv-boxart/Faith%20Fighter-{width}x{height}.jpg"
"3140","The Tarturian","https://static-cdn.jtvnw.net/ttv-boxart/The%20Tarturian-{width}x{height}.jpg"
"3141","MDK","https://static-cdn.jtvnw.net/ttv-boxart/MDK-{width}x{height}.jpg"
"3142","International Rugby Simulator","https://static-cdn.jtvnw.net/ttv-boxart/International%20Rugby%20Simulator-{width}x{height}.jpg"
"3143","Global Gladiators","https://static-cdn.jtvnw.net/ttv-boxart/Global%20Gladiators-{width}x{height}.jpg"
"3144","The Games: Summer Challenge","https://static-cdn.jtvnw.net/ttv-boxart/./The%20Games:%20Summer%20Challenge-{width}x{height}.jpg"
"3145","Your Sinclair Magnificent 7 July 1991","https://static-cdn.jtvnw.net/ttv-boxart/Your%20Sinclair%20Magnificent%207%20July%201991-{width}x{height}.jpg"
"3146","Cobra II","https://static-cdn.jtvnw.net/ttv-boxart/Cobra%20II-{width}x{height}.jpg"
"3147","Tubular Worlds","https://static-cdn.jtvnw.net/ttv-boxart/Tubular%20Worlds-{width}x{height}.jpg"
"3148","Voidrunner","https://static-cdn.jtvnw.net/ttv-boxart/Voidrunner-{width}x{height}.jpg"
"3149","Eldorado Gate Volume 3","https://static-cdn.jtvnw.net/ttv-boxart/Eldorado%20Gate%20Volume%203-{width}x{height}.jpg"
"3150","Quazatron","https://static-cdn.jtvnw.net/ttv-boxart/Quazatron-{width}x{height}.jpg"
"3151","Tournament Poker","https://static-cdn.jtvnw.net/ttv-boxart/Tournament%20Poker-{width}x{height}.jpg"
"3152","WarHeads SE","https://static-cdn.jtvnw.net/ttv-boxart/WarHeads%20SE-{width}x{height}.jpg"
"3153","Anachronox","https://static-cdn.jtvnw.net/ttv-boxart/Anachronox-{width}x{height}.jpg"
"3154","AFL Finals Fever","https://static-cdn.jtvnw.net/ttv-boxart/AFL%20Finals%20Fever-{width}x{height}.jpg"
"3155","Sentinel: Descendants in Time","https://static-cdn.jtvnw.net/ttv-boxart/./Sentinel:%20Descendants%20in%20Time-{width}x{height}.jpg"
"3156","Zombie Zone","https://static-cdn.jtvnw.net/ttv-boxart/Zombie%20Zone-{width}x{height}.jpg"
"3157","All-Terrain Challenge","https://static-cdn.jtvnw.net/ttv-boxart/All-Terrain%20Challenge-{width}x{height}.jpg"
"3158","European Champions","https://static-cdn.jtvnw.net/ttv-boxart/European%20Champions-{width}x{height}.jpg"
"3159","Who Dares Wins","https://static-cdn.jtvnw.net/ttv-boxart/Who%20Dares%20Wins-{width}x{height}.jpg"
"3160","MediEvil II","https://static-cdn.jtvnw.net/ttv-boxart/MediEvil%20II-{width}x{height}.jpg"
"3161","Magic Fly","https://static-cdn.jtvnw.net/ttv-boxart/Magic%20Fly-{width}x{height}.jpg"
"3162","Jonah Barrington's Squash","https://static-cdn.jtvnw.net/ttv-boxart/Jonah%20Barrington%27s%20Squash-{width}x{height}.jpg"
"3163","Double Play Adventure: Time Quest / Crystal Quest","https://static-cdn.jtvnw.net/ttv-boxart/./Double%20Play%20Adventure:%20Time%20Quest%20/%20Crystal%20Quest-{width}x{height}.jpg"
"3164","Monty Python's Flying Circus","https://static-cdn.jtvnw.net/ttv-boxart/Monty%20Python%27s%20Flying%20Circus-{width}x{height}.jpg"
"3165","Spec Ops: Ranger Elite","https://static-cdn.jtvnw.net/ttv-boxart/./Spec%20Ops:%20Ranger%20Elite-{width}x{height}.jpg"
"3166","The Settlers II Mission CD","https://static-cdn.jtvnw.net/ttv-boxart/The%20Settlers%20II%20Mission%20CD-{width}x{height}.jpg"
